qstr_Breaking_camp...|Lager wird abgebrochen ...
; qstr_Very_well_but_if_I_s|Very well, but if I solve your riddle but do not like your answers, I'll take your soul. (Sanguine)
; qstr_When_you_open_your_e|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination but you feel more skillful with weapons.
; qstr_When_you_open_your_ey|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination but you feel more attractive.
; qstr_When_you_open_your_eye|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination but you feel stronger.
; qstr_When_you_open_your_eyes|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination but you feel smarter.
; qstr_When_you_open_your_eyes_|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination, but you feel more agile.
; qstr_You_open_your_eyes_a|You open your eyes again, but nothing happens. The gods do not accept this sacrifice.
; qstr_An_old_Roman_at_{s3}|An old Roman at {s3} asked you bring him eight sacks of wheat.
; qstr_I_have_a_good_load_o|I have a good load of mineral available.
; qstr_I_have_loads_of_both|I have loads of both mineral and stone available.
; qstr_I_have_a_good_load_of|I have a good load of stone available.
; qstr_I_have_some_soapston|I have some soapstone available.
; qstr_I_have_loads_of_salt|I have loads of salt today.
; qstr_Come_with_me._I_ll_s|Come with me. I'll show you what we've got.
; qstr_I_have_some_salt.|I have some salt.
; qstr_I_have_plenty_of_tim|I have plenty of timber available.
; qstr_I_have_some_timber_a|I have some timber available.
; qstr_I_have_nice_cows_hug|I have nice cows, huge and fat, ready to sell in the town. I'd be happy to sell them right now.
; qstr_I_have_raw_materials|I have raw materials and produce.
; qstr_I_have_a_few_food_it|I have a few food items for sale.
; qstr_I_am_the_reeve_of_th|I am the reeve of the fort of {s9}. I manage the affairs of the fort in your name, my {reg59?lady:lord}
; qstr_I_am_the_reeve_of_the|I am the reeve of the fort of {s9}. I manage the affairs of the castle in my lord's name.
; qstr_Your_highness|Your highness
; qstr_May_I_remind_you_tha|May I remind you that the populace is paying normal taxes to you?
; qstr_May_I_remind_you_that|May I remind you that the populace is paying low taxes to you? They are exceptionally grateful to you.
; qstr_May_I_remind_you_that_|May I remind you that the populace is paying high taxes to you? Your name is being cursed on every corner and at every market stall.
; qstr_Donngal_mayor_of_{s3|Donngal, mayor of {s3}, wants you to improve relations with his town before giving you information about Flaithbertach's grandchildren. You need to raise relations above 10 points.
; qstr_Donngal_told_you_tha|Donngal told you that Flaithbertach's grandchildren are at a farm near {s3}. It's time to return with the news to the abbot and collect your reward.
qstr_Note_1:_You_chose_to_|Hinweis 1: Ihr habt sich dafür entschieden Flaithbertachs Enkelkinder zu töten.
; qstr_The_children_who_wil|The children who will be at the farm will be slaves. Dongall will hide Flaithbertach's grandchildren elsewhere.
; qstr_Note_1:_You_chose_to_s|Note 1: You chose to save Flaithbertach's grandchildren. You instead sacrificed the lives of other, slave children.
; qstr_Dongall_will_remove_|Dongall will remove Flaithbertach's grandchildren from the farm near Dinas Bran, so when the murderers come, they will not find anyone. It is possible that this will put you at odds with the highest power in Eriu, but you are willing to take that risk.
; qstr_Note_1:_You_chose_to_sa|Note 1: You chose to save Flaithbertach's grandchildren.
; qstr__May_I_remind_you_th| May I remind you that the populace is paying normal taxes to you?
; qstr__May_I_remind_you_tha| May I remind you that the populace is paying low taxes to you? They are exceptionally grateful to you.
; qstr__May_I_remind_you_that| May I remind you that the populace is paying high taxes to you? Your name is being cursed on every corner and at every market stall.
qstr_town|Stadt
qstr_village|Dorf
; qstr_The_mayor_of_{s13}_h|The mayor of {s13} has asked you to deal with looters in the surrounding countryside.
qstr_{s9}_of_{s3}_asked_y|{s9} aus {s3} bat Euch, innerhalb von 7 Tagen {reg5} Einheiten {s6} in der Schänke in {s4} abzuliefern.
qstr_Escort_the_merchant_|Eskortiert die Händlerkarawane in die Stadt {s8}.
qstr_Merchant_{s9}_of_{s4|Kaufmann {s9} von {s4} bat Euch, die räuberischen Banditen in der Nähe der Stadt zu jagen..
qstr_The_mayor_of_{s4}_ga|Der Bürgermeister von {s4} hat Euch {reg12} Pfennige gegeben um das gekidnappte Mädchen von den Banditen freizukaufen. Ihr sollt Euch mit den Banditen bei {s3} treffen und ihnen das Lösegeld zahlen. Danach sollt Ihr das Mädchen zurück nach {s4} bringen.
; qstr_The_mayor_of_{s4}_pr|The mayor of {s4} promised you {reg12} peningas if you can make sure that {s12} and {s13} no longer pose a threat to a peace settlement between the {s15} and the {s14}. In order to do that, you must either convince them or make sure they fall captive and remain so until a peace agreement is made.
; qstr_The_mayor_of_{s14}_h|The mayor of {s14} has asked you to deal with a group of bandits terrorising the streets of {s14}. They only come out at night, and only attack lone travellers on the streets.
; qstr_The_mayor_of_{s10}_a|The mayor of {s10} asked you to move a cattle herd to {s13}. You will earn {reg8} peningas in return.
; qstr_Yes_{playername}_I_h|Yes, {playername}, I have a delicate task to ask of you. I was in the possession of a wonderful musical instrument, a {s13}, which was made by one of the greatest artisans of yore, {s50} of... well, not really sure where he was from. Regardless, it looks like it was stolen from me by a local guard. He went into hiding, and no one can find him. He's probably hiding in one of the local villages nearby. If you return {s13} to me, I will reward you with {reg33} peningas.
qstr_{s10}^{s11}|{s10}^{s11}
qstr_The_{s9}_of_{s3}_ask|Der {s9} von {s3} hat Euch darum gebeten, ihm ein {s13} wiederzubringen, welches ihm gestohlen wurde.^^Schau nach:^{s10}
; qstr_Yes_{playername}_one|Yes, {playername}, one of the merchants here is looking to expand, and he needs some stone for that. Unfortunately, with all the fighting around, bandits and all that, he was unable to procure the stone at the acceptable price. Perhaps, you can go to the nearest stone quarry and get {reg33} loads of stone?
; qstr_Yes_{playername}_one_|Yes, {playername}, one of the merchants here had an unusually high demand for salt lately, and he is running low. Unfortunately, with all the fighting around, bandits and all that, his last shipment never arrived, and he was unable to procure the salt at the acceptable price. Perhaps, you can go to the nearest salt mine and get {reg33} loads of salt for him?
; qstr_{s9}_of_{s3}_asked_yo|{s9} of {s3} asked you to bring {reg33} loads of {s33}.
; qstr___His_eyes_widen.__|--His eyes widen.--
; qstr_He_has_killed_many_p|He has killed many people, but he also killed my mother. I need to find him! (Phlegmatic)
; qstr_I_know_but_he_must_d|I know, but he must die! He is my mortal enemy now! Where is Sven, Thonkrik? (Melancholic)
; qstr_Sven_had_the_audacit|Sven had the audacity to attack my ship. He will pay dearly! Where is he? (Choleric)
; qstr_Sven_is_my_goal_now.|Sven is my goal now. Anyone who gets in my way is my enemy! Where is Sven? (Sanguine)
; qstr___He_looks_frightene|--He looks frightened.--
; qstr_Note_1:_Doccinga_fis|Note 1: Doccinga fishermen rescued you from the sea. Looks like you're the only survivor. Sven attacked your ship.
; qstr_{s9}_told_me_that_{s|{s9} told me that {s3}, jarl of {s1}, might know where Sven Bull Neck is.
; qstr___He_rubs_his_hands_|--He rubs his hands nervously.--
; qstr___He_points_to_the_s|--He points to the sea, where you can distinguish three sails.--
; qstr___He_seems_nervous_n|--He seems nervous, not gesturing with hands.--
; qstr_Thonkrik_from_{s3}_t|Thonkrik from {s3} told you that {s9} might be allied with Sven Neck Bull in his attempt to capture the throne of Friese.
; qstr_Note_4:_You_chose_to_|Note 4: You chose to kill the Viking prisoner in {s3}.
; qstr_Note_4:_You_chose_to_s|Note 4: You chose to spare the life the Viking prisoner in {s3}.
; qstr_Note_2:_The_Viking_p|Note 2: The Viking prisoner in {s3} told you there were other survivors of the attack on the Woden Ric. They seem to have been taken to a hideout that Sven Bull Neck has in Danmark.
; qstr_{s11}_told_me_that_I|{s11} told me that I have a boat waiting for me at a beach near to Doccinga. The only condition is to take his daughter with me. It's time to leave Friese.
; qstr__May_I_remind_you_that_| May I remind you that currently we are paying medium taxes to your {reg59?ladyship:lordship}?
; qstr__May_I_remind_you_that_c| May I remind you that currently we are paying low taxes to your {reg59?ladyship:lordship}? We are infinitely grateful for such generosity.
; qstr__May_I_remind_you_that_cu| May I remind you that currently we are paying high taxes to your {reg59?ladyship:lordship}? Many people are cursing you for your greed.
; qstr_Old_gods?_This_is_a_|Old gods? This is a concern. I have never faced any 'god' before. (Phlegmatic)
; qstr_Tell_me_more_about_t|Tell me more about these 'gods' and how are they watching you. (Melancholic)
; qstr_Look_at_me._I_m_here|Look at me. I'm here with you, listening, Caliacas. Tell me more about those 'gods' that watching you. (Choleric)
; qstr_Come_on_man_no_need_|Come on man, no need to be sad. Now I'm here, and I'll take care of this problem. Tell me, who is watching you? (Sanguine)
; qstr_Demons?_This_could_b|Demons? This could be a serious problem, indeed. (Phlegmatic)
; qstr_I_sure_hope_I_am_rea|I sure hope I am ready to face a 'demon.' (Melancholic)
; qstr_Morrigan_is_a_pretty|Morrigan is a pretty name, even for a 'demon.' (Choleric)
; qstr_Tuatha_De_Danann?_I_|Tuatha De Danann? I have no fear of 'demons.' (Sanguine)
; qstr_Caliacas_told_you_th|Caliacas told you that the evil attacking them is an ancient demon called Morrigan, the Raven Goddess, who leads a bunch of beasts. You've discovered that you're not the only hero destined to defeat Morrigan, and have to meet the other two in the burnt hut of the old man who worshiped the old gods.
; qstr_It_seems_that_there_|It seems that there is no problem in the village. It was all a false alarm. Now you just have to wait for the messenger from the two champions.
; qstr_{s40}_s_Levy|{s40}'s Levy
qstr_He_is_not_commanding|Er befehligt momentan keine Männer.
qstr_He_currently_command|Er befehligt momentan {reg0} Männer{reg1?, von denen ungefähr {reg1} verwundet sind:}.
; qstr_{s33}_lost_1_point_o|{s33} lost 1 point of leadership
; qstr_{s33}_lost_1_point_of|{s33} lost 1 point of charisma
; qstr_{s33}_didn_t_suffer_|{s33} didn't suffer any injuries
; qstr_I_am_the_leader_of_t|I am the leader of this area. It was smart for you to ask me.
; qstr_Looking_for_men_who_|Looking for men who are willing to risk their skin for glory and wealth, eh?
; qstr_Interesting._You_re_|Interesting. You're looking for men and I, by coincidence, know people in the area.
; qstr_You_don_t_trust_me._I|You don't trust me. I understand. I may be new here, but I am a good person. (Phlegmatic)
; qstr_I_don_t_like_what_yo|I don't like what you say. I came here to recruit. Why waste my time? (Melancholic)
; qstr_Believe_me_I_have_li|Believe me, I have little patience. We can do things the easy way, or the hard way. (Choleric)
; qstr_I_see._Well_you_look|I see. Well, you look like someone reasonable. Let's negotiate... (Sanguine).
; qstr_You_a_good_person?_H|You, a good person? Ha! Your reputation says otherwise. Very much so.
; qstr_I_see_where_you_are_|I see where you are going. Well, I'd rather deal with you now than lose sleep waiting for you to kill me. Your reputation is completely justified.
; qstr_I_understand_for_you|I understand, for your reputation precedes you. I'd rather negotiate than be your enemy.
; qstr_There_is_no_negotiat|There is no negotiation between the cat and the rat.
; qstr_I_see_you_look_like_|I see, you look like a decent person. Let's talk.
; qstr_It_is_you_who_wastes|It is you who wastes my time and patience.
qstr_You_ll_get_nothing_w|Mit Drohungen werdet Ihr nichts erreichen.
; qstr_Very_well._Let_s_sta|Very well. Let's start the negotiation.
; qstr_I_don_t_trust_you._S|I don't trust you. Stop wasting my time.
; qstr_I_see_where_you_are_g|I see where you are going. Well, I'd rather deal with you now than lose sleep waiting for you to kill me.
; qstr_Yes_yes_I_got_it._Yo|Yes, yes, I got it. Your way or your way.
; qstr_Negotiation?_Ha!_Fin|Negotiation? Ha! Find yourself a friend, for you can't count me as one!
; qstr_I_see_you_look_like_s|I see, you look like someone with a silver tongue. Well, let's talk.
; qstr_Yes_I_must_admit_you|Yes, I must admit you're right.
; qstr_Interesting._Seems_I|Interesting. Seems I'm not talking to an idiot.
; qstr_From_this_moment_on_|From this moment on, you may recruit in this village.
qstr_The_elder_of_the_vil|Der Dorfälteste von {s3} bat Euch, ihm {reg5} Bündel Weizen zu bringen.
qstr_The_elder_of_the_vill|Der Dorfälteste von {s13} bat Euch, {reg5} Bauern für den Kampf gegen lokale Banditen auszubilden.
; qstr_I_see_your_problem_b|I see your problem, but wouldn't it be unfair to those women?
; qstr_Hmmm_why_can_t_your_|Hmmm, why can't your men marry women from a nearby village?
; qstr_Your_men_should_real|Your men should really learn how to control their, errr... instincts.
; qstr_Your_men_should_take|Your men should take matters into their own hands, don't you think?
; qstr_Interesting_problem_|Interesting problem, and even more interesting solution...
