str_yes|Ja.
str_npc9_intel_mission|{Herr/Herrin} – schon seit geraumer Zeit habe ich nicht mehr die Wonnen von {s17} gekostet, wo vornehme Leute wie ich es gewohnt sind, sich der Gastfreundschaft des mächtigsten und großzügigsten Fürsten zu erfreuen. Wünschtet Ihr es, so könnte ich mich vielleicht dorthin begeben, und Euch etwas über die Sorgen wissen lassen, die auf den Gemütern der großen Räte der {s18} lasten.
; str_npc10_intel_mission|Dryhten -- I was thinking that some of my old mates in the garrison at {s17} would be glad to see me. They are good lads that would never betray the city, but, like me, they are true Saxon warriors. They may be willing to slip a little political gossip about the incompetence of our lords in finally exterminating the Welsh. The gentry are always falling out over one little thing or the other instead of killing Britons, but the lads might know if there's real dissent brewing.
str_npc11_intel_mission|{reg59?Meine hübsche:Mein hübscher}, es ist schon eine ganze Weile her, seit ich meine Verwandtschaft in {s17} das letzte Mal besuchte. Sie gehörten zu den wenigen, die mich über Jahre hinweg unterstützt haben, also möchte ich mit ihnen einen Teil meines neu erlangten Reichtums und Bekundungen unserer Verbundenheit teilen. Dann werden sie sicherlich ihrerseits ein paar Einzelheiten über die Ereignisse über {s18} herauszurücken, falls Euch das interessieren würde.
str_npc12_intel_mission|Wenn Ihr es gestattet, Hauptmann, so würde ich gerne einen meiner Schüler besuchen, der nun in den Diensten des Fürsten von {s17} steht. Ich hatte große Pläne für ihn, aber mir ist zu Ohren gekommen, dass er seit kurzem Lähmungen mit Zuckermelonen zu heilen versucht, da deren kalte Essenz seiner Ansicht nach enorm viel Galle bindet. Dies ist ein Hohn für die medizinische Zunft, und ich muss schnell zu ihm reisen, um ihn zu korrigieren. Während ich vor Ort bin, könnte ich ihn über die neuesten Trends bei den {s17} befragen, was für Euch von Interesse sein könnte.
str_npc13_intel_mission|Oh Heldenhafter! Mit Eurer Erlaubnis würde ich gerne den Tälern nahe {s17} einen Besuch abstatten. Ich bemühe mich, meine alten Weidegründe nicht zu besuchen, aber ich muss gestehen, dass an mir eine gewisse Neugier nagt, wie es einer hübschen Schafshirtin ergeht, mit der ich bekannt war. Auf dem Weg könnte ich versuchen, in der Burg vorbeizuschauen. Es fiele mir Charmebolzen wohl nicht allzu schwer, mich in die Halle des Fürsten zu schmeicheln, und dort könnte ich die neuesten Nachrichten von den {s18} für Euch in Erfahrung bringen.
str_npc14_intel_mission|Hauptmann ... Wie Ihr vielleicht wisst, so half ich bei der Ausbildung der Garnison von {s17}. Einer ihrer Angehörigen hat mich neulich kontaktiert, und dabei durchblicken lassen, dass er, wenn ich ihn besuchen würde, mir Informationen über die Ereignisse bei den {s18} geben könnte. Ich bin dazu bereit, wenn Ihr mich entbehren könnt. Es ist zwar eine große Schande, ein Verräter zu sein, aber es ist nichts falsch daran, sich nicht einen zunutze zu machen.
; str_npc15_intel_mission|Strategos, as you may know, I have for some time harbored a wish to go to {s17} to study woodworking. As it happens, one of my colleagues is currently engaged there doing repair work on the defenses. While his sense of professional obligation, I think, should prevent him from disclosing to me any weaknesses, I suspect that he would not be averse to offering up his opinion on the general state of the {s18}, if that is of interest to you.
str_npc16_intel_mission|Ich statte vielleicht dem Kloster in der Nähe von {s17} einen Besuch ab, denn dort leben einige weise Mönche und Priester. Als Verteidiger einer Bastion Gottes und Werkzeuge seines Willens in dieser Gegend sind meine Brüder in der politischen Situation der {s18} sehr versiert. Ich bin sicher, sie werden keine Geheimnisse vor mir haben, wenn es dazu dient, die Lehren der Bibel über diese Lande zu verbreiten.
; str_npc1_fief_acceptance|You make me lord of {s17}, warlord? Well, that will be the kindest thing that anyone has done for me in a long time. Heh, I'll make the most of it. You can count on that! I have to say, though -- I'm not sure how the other lords of this realm will react when they find young Caio in their high company.
str_npc2_fief_acceptance|{s17} als Lehen? Nun, ich habe mich immer eher als einen Geschäftsmann als für einen Verwalter gesehen. Aber wo Ihr es nun erwähnt – ich denke, ich könnte aus diesem Ort einen schönen Verdienst holen. Ich danke Euch, {mein Fürst/meine Dame} – dies ist wirklich ein sehr freundlicher Zug von Euch.
str_npc3_fief_acceptance|{Mein Herr/Meine Fürstin}, Ihr seid zu großzügig, mir {s17} anzubieten. Ich wäre sehr erfreut, es zu regieren, und mich der moralischen und materiellen Besserung seiner Einwohner zu widmen.
str_npc4_fief_acceptance|Es ist gut von Euch, mir {s17} als Lehen zu geben -- und höchst angemessen.
str_npc5_fief_acceptance|Bahadur -- ich wäre höchst erfreut, {s17} verwalten zu dürfen. Ich werde die Kunde in die Hügel zu meinem Stamm senden und sie wissen lassen, dass man unter meinem Befehl in Euren Armeen ehrbares Gold verdenen kann -- und sie werden Euch in Scharen zulaufen, um für Euch kämpfen zu dürfen!
str_npc6_fief_acceptance|{Herr/Herrin} -- ich bin überrascht, dass Ihr mir als würdig anseht, Männer zu regieren, wo ich doch gerade erst lerne, mich selbst zu regieren. Doch wenn Ihr es wirklich wünscht, wäre es mir eine große Ehre, {s17} in Eurem Namen zu halten, und mich dem Schutz derer zu widmen, die dort leben.
; str_npc7_fief_acceptance|Aye, I'll hold {s17} -- and prove to all that Picts are more than capable of ruling and governing land and men, as we did ages ago. Thank you, my {reg59?Lady:Lord}, for this opportunity.
str_npc8_fief_acceptance|Ihr wollt mich zu einem Thanen machen? Nun, ich denke, dass ich die Rückgewinnung meines Erbes noch etwas länger aufschieben und meine große Halle in {s17} aufschlagen kann. Eines Tages reise ich wohl über die See, um mir das Meine wieder zu holen, doch bis dahin wäre ich erfreut, einen Trupp schlachterprobter Nordmänner zum Kampf unter Eurem Banner zusammen zu bringen.
str_npc9_fief_acceptance|{Herr/Meine Dame}, man betrog mich um mein Erbe – doch nun stellt Ihr mit diesem Angebot die Dinge wieder ins Lot. Es wäre für mich die größte Ehre, Euch dienen zu dürfen und dieses Land als Euer Lehen zu halten.
; str_npc10_fief_acceptance|You'd make me a lord? Well, I think you are right. Saxon warriors are destined to rule all of Britannia. If our current lords are unable to defeat the other nations, then it is natural that truly powerful warriors like I must replace them.
; str_npc11_fief_acceptance|My! You'd grant me a title? There can be no greater sign of your love, can there? My, the strange turns life takes! Fancy this much-maligned virgin finding love and becoming a great peer of a realm. I am nobody's 'old maid' now!
; str_npc12_fief_acceptance|Well, my {reg59?Lady:Lord}, I have to remind you that I don't believe in the holding of land in fief to the king. Farmers and landholders should govern their own affairs under the protection of a distant sovereign. That being said, Englaland has seen far too much bloodshed for us to turn the social order on its head right now. Give me that land, and I'll endeavor to prepare it for a brighter future -- if not in this generation, than perhaps in the next.
str_npc13_fief_acceptance|Wie großzügig und gütig von Euch, {Herr/Herrin}. Erlaubt mir, Euch meine untertänigste Verehrung auszusprechen, dass Ihr mich auserwählt habt. Euer Scharfsinn übersteigt wahrlich selbst den von König Laminur, der den Charakter eines Mannes an einem einzelnen Haupthaar erkennen konnte. Euer Urteilsvermögen übertrifft das von Kaiser Akembra, dessen Schiedsspruch sich selbst die Jinns unterwafen. Wie auch immer, ich nehme an.
; str_npc14_fief_acceptance|How generous and kind of you, my {reg59?Lady:Lord}. Allow me to express the utmost reverence for your wisdom in selecting me. Truly, your perspicacity exceeds that of King Solomon, who could read the entire nature of a man from a single hair of his head. Your judgment surpasses that of the emperor, Marcus Aurelius, to whom even the most prominent patricians submitted their disputes. Anyway, I accept.
str_npc15_fief_acceptance|Nun, {Herr/Herrin}, das ist eine gnädige Tat, und zeigt Euch als die Art von Monarch, der dieses gottverlassene Land vor der Inkompetenz der jetzigen Herrscher retten kann. Vermutlich werden viele der Fürsten hier denken, dass ein Gemeiner wie ich nicht geeignet ist, ein Lehen zu halten. Nun ja, wir werden sehen, was ich damit anstelle. Wenn sie sehen, was ich erreiche, und welche Erträge ich erwirtschafte, dann werden sie ihre Meinung schnell ändern!$
str_npc16_fief_acceptance|Oh, das ist so großzügig von Euch, {Herr/Herrin}. Ich war schon in vielen Thronsälen und Gütern zu Gast – nicht immer mit der Zustimmung des Hausherren, sollte ich vielleicht hinzufügen – aber ich hätte nie gedacht, dass ich einmal der Gastgeber sein würde. Lasst mich mal überlegen ... Wenn ich die Pacht des ersten Jahres eingetrieben habe, welche Spielereien sollte ich mir wohl davon kaufen?
str_npc3_woman_to_woman|Wenn ich das so frei heraus sagen darf, meine Dame -- ich denke, dass Ihr Euch mittlerweile als eine der großen Kriegerinnen dieses Reiches bewiesen habt. Und doch hat Euch seltsamerweise noch kein König ein Lehen angeboten. Vielleicht liegt das daran, dass Ihr eine Frau seid. Wie dem auch sei -- ich denke, dass Ihr Euren Platz unter den großen Fürsten dieses Reiches einnehmen werdet, selbst wenn Ihr doppelt so tapfer und zweimal so lange dafür kämpfen müsst!
str_npc7_woman_to_woman|Hauptmann. Wenn ich das so sagen darf -  Ihr habt das Gesindel Caldradias lange und tapfer bekämpft, und mit ihrer Niederlage habt Ihr dieses Land zu einem besseren Ort gemacht. Ihr habt Euch sehr wohl ein eigenes Lehen verdient,  -- und ich vermute, dass wenn Ihr ein Mann wärt, Euch irgendein König schon längst eins angeboten hätte. So sind die Männer in diesem traurigen Land: Sie lassen uns zwar in der ersten Schlachtreihe feindliche Hiebe abfangen, aber wenn es zur Beuteverteilung kommt, erwarten sie von uns, in der Nachhut zu marschieren.
str_npc11_woman_to_woman|He, Mädel, jetzt sag aber mal … du hast dir doch schon ziemlich einen Namen gemacht, oder? Bist über das ganze Land marschiert und hast gekämpft. Wenn du ein Mann wärst, hätte dir schon längst irgendein König ein Lehen angeboten. Naja, vielleicht bekommst du noch, was dir zusteht – du musst dich einfach noch ein bisschen mehr beweisen.
str_npc1_turn_against|Es tut mir leid, dass wir uns so treffen, Boss. Es besteht kein Zweifel, dass ich meinen Aufstieg im Leben Euch verdanke. Ihr denkt bestimmt, ich sei undankbar. Doch der Mensch muss seinem Schicksal folgen – stimmt das nicht?
str_npc2_turn_against|Dies ist ein trauriger Tag. Ich hätte nie gedacht, meinem alten Hauptmann einmal auf dem Schlachtfeld gegenüber zu stehen. Selbst wenn ich triumphiere, so wird es mir keine Freude sein.
str_npc3_turn_against|Oh {playername} – welch tragische Wende unsere Schicksale genommen haben! Ich kann nur hoffen, dass die Fügungen des Krieges, die uns zu Feinden machten, uns eines Tages erlauben werden, Freunde zu sein.
