str_yes|Да.
; str_npc5_home_description|Cornubia used to be a strong kingdom called Dumnonia. People from Dumnonia usually call themselves 'Defnas,' which simply means 'men of Dumnonia.' Our land was famous for the high quality of tin extracted from its many mines. Now our kingdom is small and poor.
; str_npc6_home_description|You know that Cantwareburh was the capital of the kingdom of Cent until very recently. I read about this before I came here, and I talked to a Saxon scholar who had been invited to Asturias. In my kingdom, we call everybody here 'Saxons,' but, really, in Cent lived Jutes, people who preceded the Saxons from across the sea.
; str_npc7_home_description|The Kingdom of Alban is simply a merger of two people: the Dal Riata, people who migrated generations ago from Hibernia, and us Picts. Our nobles and kings have become so mixed that we are now one kingdom. The common people have their differences yet, for there are many years of war between us.
; str_npc8_home_description|Frisians are a reserved people. They like to be left alone to their affairs, and the Danish are better lords than the Franks. As long as we pay taxes and accept their authority, they leave us alone.
; str_npc9_home_description|The kings of East Engle are from the Wuffing dynasty, descended from the legendary king Wuffa. Their origins lie with the Geats, as in the tale of Beowulf. They were the most powerful of the Anglo-Saxon kingdoms back in the day, but not any more. Now they are just servants of the Danish.
; str_npc10_home_description|Here once stood Londinium, the Roman capital of Britannia. Lundenwic lies very close to the ruins of Londinium, of which now remains a fort usually called Lundenburh. Its name means 'trading town of Londinium,' or simply, as we Saxons say, 'London.'
; str_npc11_home_description|I'm from here, you know. I think I have managed to become such a fine warrior by your side because war runs thick in the blood of every man and woman of Northvegr. These are times of war in this land. The jarls fight each other constantly.
; str_npc12_home_description|Heidabyr is not the oldest site in Danmark, but it is becoming important. Actually, it was founded a few generations ago by Rerik merchants. The fled here when their city was destroyed by King Gotrik.
; str_npc13_home_description|While the Danes and Norwegians focus on the west, the Svia look east to the land of the Slavs and beyond, even to the rich trading city of Mikligard.
; str_npc14_home_description|This is the home of the best bards from these lands. Even small boys and girls from this kingdom sing better than the bards from the rest of world. Many of the people also respect the old traditions and gods, and thus Munster is the most prosperous land in all of Eriu.
; str_npc15_home_description|Hordaland is one of the small kingdoms in Northvegr. It is led by Eirik Konungr, who was my master. I know him well. He's a tough man, violent and loving nothing more than the independence of his kingdom. So he doesn't like the vow of Harald Tanglehair to unify Northvegr under one king.
; str_npc16_home_description|Witan Ceaster is the capital of the Saxons of West Seaxe. West Seaxe is now the most powerful kingdom in Britannia or Englaland, as our land is called. With Mierce weakened, West Seaxe is the only kingdom that can stop the Danish.
; str_npc1_home_description_2|Since then, it has passed from father to son. My father, the old Roman that you met, is called Caio. The name will not be lost, for all my brothers are also called Caio. My mother called us Caio Maior, Caio Secundo, and Caio Minor in order to distinguish us.
; str_npc2_home_description_2|Someday I'll buy a farm near Ribe. I will marry two or three women and dedicate myself to making children. Or maybe not. I may soon get bored of it...
; str_npc3_home_description_2|But now it seems that the Danish may be worse, in fact, than the Franks. Many Frisians have rebelled against their dominion. The Danish are people who take what they want, regardless of who is harmed, and they value their strength above our laws. I hate them! They made me a slave!
; str_npc4_home_description_2|The truth is that, for many Gaels, to become Scots was a way out of poverty, especially in such a closed society like Eriu. We joined a brotherhood and threw ourselves to the dangers of the sea. Looting and robbery were our ways. It was not very different from what others are doing today, but we were never as bloody as the Norwegians.
; str_npc5_home_description_2|We only have the memories and history. Do you know that Din Tagell was the place where they say the man, Arthur, whom the bards sing about, was born?
; str_npc6_home_description_2|The Jutes conquered this land from the Britons after Rome left Britannia. Curiously, the Danish, who are the Jutes' relatives, or perhaps their descendants, are now their enemies and attack this land. I remember long afternoons with the Saxon scholar, an old man named Bedda, who informed me of this part of the world and prepared me for my trip.
; str_npc7_home_description_2|The Picts are fine shepherds and hunters, but these Dal Riata are a clan of pirates, Scots. But I should not say that, since we are now fighting on the same side and for the king himself.
; str_npc8_home_description_2|Many of us prefer our own government, without the interference from either the Franks or Danish, but this is impossible as long as we are divided and unable to raise an army. Our aethelings, our noblemen, prefer to serve the Danish. Without an aetheling to lead us, the frilings, the freemen, are unable to organize. Perhaps our fate is to be dominated by other people forever.
