; qstr_Breaking_camp...|Breaking camp...
; qstr_Interesting._Seems_I|Interesting. Seems I'm not talking to an idiot.
; qstr_From_this_moment_on_|From this moment on, you may recruit in this village.
; qstr_The_elder_of_the_vil|The elder of the village of {s3} asked you to bring them {reg5} sacks of wheat.
; qstr_The_elder_of_the_vill|The elder of the village of {s3} asked you to capture and bring {reg5} women to them (as prisoners).
; qstr_I_see_your_problem_b|I see your problem, but wouldn't it be unfair to those women?
; qstr_Hmmm_why_can_t_your_|Hmmm, why can't your men marry women from a nearby village?
; qstr_Your_men_should_real|Your men should really learn how to control their, errr... instincts.
; qstr_Your_men_should_take|Your men should take matters into their own hands, don't you think?
; qstr_Interesting_problem_|Interesting problem, and even more interesting solution...
; qstr_Lonely_men_and_lack_|Lonely men and lack of women? Looks like I'm not the only one...
; qstr_Huh_poor_boys_have_t|Huh, poor boys have to show off and no one is paying attention...
; qstr_I_can_sympathize_wit|I can sympathize with your men. Your proposal sounds intriguing.
; qstr_Your_men_are_patsies|Your men are patsies, but glorious {playername} is always up to the challenge!
; qstr_Unfair_you_say?_But_|Unfair you say? But our men are hard working and well off, not some kind of drunks. If you take these women from a poor village, or find some refugees, you in fact will be doing them a favor. A good, caring husband, plenty of food, and a warm house. What more could a good wife possibly need?
; qstr_Well_it_s_a_long_sto|Well, it's a long story. Let's just say our relations aren't that great, given their past transgressions. Our men will be ridiculed if they attempt to court any of those ladies. I can't allow my men to be humiliated, especially by the indolent louts inhabiting that place!
; qstr_My_good_{reg59?lady:|My good {reg59?lady:lord}, I fully agree with you, but you see, we need more hands to help during the harvest time. It ain't easy to work the fields and take care of the cattle. How could we possibly have more help if my men aren't married? And to be honest, men do behave when they have a wife and kids to take care of.
; qstr_Ah_my_{reg59?lady:lo|Ah, my {reg59?lady:lord} gives excellent advice! Unfortunately, it is impossible to follow. Pity, isn't it? You see, if our men go and kidnap those women, your poor humble servant will most assuredly lose his head, and something tells me that is not the outcome my head and I desire.
; qstr_My_{reg59?lady:lord}_|My {reg59?lady:lord} seems somewhat hesitant about this situation. I can assure you the solution I propose is quite common nowadays among us common folk. {reg59?Her:His} Highness shouldn't put too much thought and contemplation into the everyday events of lowly folks like us. Your help will undoubtedly be appreciated.
; qstr_Yes_my_lord_a_warrio|Yes, my lord, a warrior like you probably spends a lot more time with his mates than he desires, but if you can help us with this delicate problem, I promise you, one day, when you are tired of all the head-bashing and ready to retire, you can always come back here. We'll get you a nice woman to warm your old, achy bones at night.
; qstr_You_re_absolutely_ri|You're absolutely right, {reg59?my lady:my lord}. Men need women to keep them focused on doing things that are pleasing to God. And that is exactly what I'm trying to accomplish - making sure my men follow God's path. I hope you would find it rewarding to help these poor souls to fulfill God's will.
; qstr_Yes_{reg59?my_lady:m|Yes, {reg59?my lady:my lord}, this will indeed be an adventure of a lifetime for you. Who knows? Maybe it will be so much to your liking that you can turn it into a profitable business.
; qstr_Glad_to_hear_that_oh|Glad to hear that, oh most valorous one! Perhaps we should discuss this matter in more detail...
; qstr_My_dear_{reg59?lady:|My dear {reg59?lady:lord}, I would be happy to pay you {reg25} peningas.
; qstr_My_dear_{reg59?lady:l|My dear {reg59?lady:lord}, I am only a poor villager, and can only offer you {reg25} peningas.
; qstr_My_dear_{reg59?lady:lo|My dear {reg59?lady:lord}, I am only a poor villager. I can only offer you {reg25} peningas.
; qstr_My_dear_{reg59?lady:lor|My dear {reg59?lady:lord}, you sound very persuasive. I would be happy to pay you {reg25} peningas.
; qstr_My_dear_{reg59?lady:lord|My dear {reg59?lady:lord}, your persuasion and charisma are hard to resist. I would be delighted to pay you {reg25} peningas.
; qstr_The_leader_of_the_vi|The leader of the village of {s3} asked you to bring the runaway slave back to the village. Most probably, he is hiding in the area around the village.
; qstr_The_runaway_slave_is|The runaway slave is now forced to follow you. Bring him back to the leader of {s13}.
; qstr_The_elder_of_the_villa|The elder of the village of {s13} asked you to train {reg5} peasants to fight against local bandits.
; qstr_The_elder_of_the_villag|The elder of the village of {s3} asked you to bring them {reg5} head of cattle.
; qstr___She_looks_puzzled_|--She looks puzzled and surprised.--
; qstr___She_smiles_happy_f|--She smiles, happy for your donation.--
qstr_{s16}_and_{s15}|{s16} e {s15}
; qstr_{s16}_{s15}|{s16}, {s15}
; qstr_I_can_smell_a_fat_pu|I can smell a fat purse a mile away. Methinks yours could do with some lightening, eh?
; qstr_Why_it_be_another_tr|Why, it be another traveller, chance met upon the road! I should warn you, country here's a mite dangerous for a good {reg59?woman:fellow} like you. But for a small donation my boys and I'll make sure you get rightways to your destination, eh?
; qstr_Well_well._Look_at_t|Well, well. Look at this! You'd best start coughing up some silver, friend, or me and my boys'll have to break you.
; qstr_There_s_a_toll_for_p|There's a toll for passin' through this land, payable to us, so if you don't mind we'll just be collectin' our due from your purse...
; qstr_Another_fool_come_to|Another fool come to throw {reg59?her:him}self on my weapon, eh? Fine, let's fight!
; qstr_We_re_not_afraid_of_|We're not afraid of you, {reg59?wench:sirrah}. Time to break some heads!
qstr_That_was_a_mistake._|Isso foi um grande erro. Agora terei de tornar sua morte longa e dolorosa.
; qstr_Brave_words._Let_s_s|Brave words. Let's see you back them up with deeds, cur!
; qstr_Your_God_is_for_wimp|Your God is for wimps and weaklings! Across the rainbow bridge to Walhalla Odin's waiting for me!
; qstr_I_ve_been_pondering_|I've been pondering the Christian religion for a while now. Perhaps it's time for me to experience fully what it means to be a true Christian. However, I can hardly be baptized while wearing chains!
; qstr_I_ve_always_felt_Chr|I've always felt Christianity was to my liking, especially the forgiving part. Yes, {playername}, I'm a true Christian now. As soon as I am able to move around freely, I will pay a visit to one of the monasteries and will pray hard for my sins to be forgiven. Now, let me go, so I can fulfill the will of the mighty Christian God!
; qstr_I_see_no_reason_even|I see no reason even to discuss things like that with someone like you!
; qstr_Your_Odin_knows_noth|Your Odin knows nothing more but how to force people to kill themselves. I will remain a Christian!
; qstr_I_ve_been_pondering_t|I've been pondering this Christian religion for a while now. It's definitely not to my liking! Too much time is spent bending your knees instead of swinging an axe. As of this moment, I renounce Christianity and return to the true gods of Odin, Thor and Freya!
; qstr_You_know_{playername|You know, {playername}, I only recently converted to Christianity, and still remember our old gods, Odin, Thor and Freya. Christianity does nothing but make men wimps and weaklings, I am definitely better than that. As of this moment, I'm no longer Christian!
; qstr_I_see_no_reason_to_e|I see no reason to even discuss things like that with someone like you!
; qstr_Plain|Plain
; qstr_Please_note_that_thi|Please note that this refinement makes the weapon cause more damage but also makes it slower.
; qstr_This_is_the_{reg4?to|This is the {reg4?town:village} of {s5}, {reg59?madam:sir}.
; qstr_{s6}_Our_{reg4?town:|{s6} Our {reg4?town:village} and the surrounding lands belong to you of course, my {reg59?lady:lord}.
; qstr_{s6}_Our_{reg4?town:v|{s6} Our {reg4?town:village} and the surrounding lands belong to {s7} of the {s8}.
qstr_{s3}_and_{s5}|{s3} e {s5}
; qstr_{reg20?We_mostly_pro|{reg20?We mostly produce {s5} here:We don't produce much here these days}. If you would like to learn more, you can speak with our {reg4?mayor:village elder}. He is nearby, right over there.
qstr_Mind_your_manners_wi|Comporte-se dentro desses muros e não teremos problemas.
; qstr_Bugger_off_stranger.|Bugger off, stranger. Can't you see I am busy watching that plump wench over there?
; qstr_Make_sure_to_keep_yo|Make sure to keep your hands in the open, and no funny business around merchants' booths.
; qstr_I_m_very_happy._You_|I'm very happy. You're a good leader who knows how to keep his men happy!
; qstr_I_m_happy_to_be_here|I'm happy to be here, things are going well, and I think of getting enough wealth to buy a farm and pay the dowry on a good lass.
; qstr_Well_..._I_guess_thi|Well ... I guess things could be better. If things continue on in this way, I will think about leaving this shield wall.
; qstr_Not_happy_{playernam|Not happy, {playername}. Honestly, I think you should improve the morale of this shield wall, or you will have very serious problems soon.
; qstr_{s9}_told_me_that_I_|{s9} told me that I could find answers in {s3}. I need to ask one Thonkrik.
qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_{s1}_{s2}|{s1} {s2}
qstr_Next_Page|Próxima Página
qstr_Naval_Battle|Batalha Naval
qstr_Coastal_Assault__Off|Ataque Costeiro (Ofensivo)
qstr_Coastal_Assault__Def|Ataque Costeiro (Defensivo)
qstr_Players:|Jogadores:
qstr_Invaders:|Invasores:
qstr_Invasion_difficulty_|Dificuldade de Invasão (%):
qstr_Allow_Shield_Bash|Permitir Golpe de Escudo
qstr_Allow_Falling_from_H|Permitir Cair de Cavalos
qstr_Allow_Shield_Wall_Bo|Permitir Bônus de Parede de Escudos
qstr_Remove_Stray_Horses_|Remover Cavalos Dispersos após xxx segundos (0=off)
qstr_Replace_All_Weapons_|Substituir todas as armas com Arco Mortal
qstr_God_Mode|Modo Deus
qstr________Game_Descript|---Descrição do Jogo--^
qstr_Game_Rules:^|Regras do jogo: ^
qstr_0|0
qstr_Players:_{reg1}|Jogadores: {reg1}
qstr_Command_enemy_troops|Comando de tropas inimigas
qstr_Invaders|Invasores
qstr_Extra_silver_for_tro|Prata extra para as tropas: {reg2}
qstr_{s0}__{reg1}s_|{s0} ({reg1}s)
qstr_Thor_s_champion_has_|Campeão do Thor foi morto!
qstr_You_have_killed_the_|Você matou o campeão e ganhou o favor de Thor!
qstr_{s1}_has_killed_the_|{s1} matou o campeão e ganhou o favor de Thor!
qstr_Thor_has_chosen_{s1}|Thor escolheu {s1} como seu novo campeão!
qstr_^^Congratulations!^^|^ ^ Parabéns! ^ ^ Você sobreviveu à invasão!
qstr_New_enemies_are_comi|Novos inimigos estão vindo! ^ Prepare-se!
qstr_{reg0}:{reg1}{reg2}_|{reg0}:{reg1}{reg2} até a próxima onda de inimigos.
qstr_Enemies_left:_{reg1}|Inimigos restantes: {reg1}
qstr_Show_game_rules|Mostrar as regras do jogo
qstr_Admin_tools_panel|Painel de ferramentas de administração
qstr_Change_game_type|Alterar o tipo de jogo
qstr_All_Players|Todos os Jogadores
qstr_The|O
qstr_Candidate_#1:_{s1}|Candidato #1: {s1}
qstr_Candidate_#2:_{s1}|Candidato #2: {s1}
qstr_{s3}_of_the_{s4}_wis|{s3} do {s4} deseja selecionar um novo Marechal e convida seus vassalos para um conselho. {s1} e {s2} são os prováveis candidatos.
