qstr_Breaking_camp...|Levantando el campamento...
; qstr___His_eyes_show_joy_|--His eyes show joy, and he pats your back with confidence.--
; qstr_{s11}_told_me_that_S|{s11} told me that Sven Bull Neck is Sigurd 'Snake in the Eye' Ragnarsson's vassal. I should talk to {s9} if I ever travel to Danmark.
; qstr_Your_king_has_not_wr|Your king has not wronged me, but you do. It seems you can't help me hunt Sven. (Phlegmatic)
; qstr_Every_time_I_finish_|Every time I finish a mission, you invent a new one! Meanwhile Sven lives. (Melancholic)
; qstr_Jarl?_You_promise_mu|Jarl? You promise much, but your king would give the same for this information. (Choleric)
; qstr__Jarl?__I_like_that_|'Jarl?' I like that, but if I do all the dirty work, 'king' would be better! (Sanguine)
; qstr_I_can_only_help_you_|I can only help you if you help me. It's so easy, but if I am not king, I won't have an army or resources to hunt Sven. You decide.
; qstr_The_difference_is_th|The difference is that now you have earned my trust, and I ask for only one more thing: kill the king and Sven will be yours.
; qstr_The_king_will_not_be|The king will not believe you, for you are a stranger to him. If you ever say something, I will tell him you're a liar, and he will order you killed.
; qstr_I_admire_your_ambiti|I admire your ambition, but here there can only be one king, and the Danish in Friese will only accept someone like me, who is known and trusted.
; qstr_{s11}_wants_me_to_ki|{s11} wants me to kill his king, {s9}, his own uncle, in order to ascend to the throne of {s3} and give me men and resources to hunt Sven.
; qstr_{s11}_wants_me_to_kil|{s11} wants me to kill his king, {s9}, his own uncle, in order to have free access to the throne of {s3} and give me men and resources to hunt Sven.
; qstr_Note_3:_You_have_cho|Note 3: You have chosen to become an enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron. You know he will send assassins after your head.
; qstr_I_did_not_know_your_|I did not know your plans. Doccinga asked me for help, and so I went. (Phlegmatic)
; qstr_Calm_down_and_tell_me|Calm down and tell me what the problem is. We are civilized people. (Melancholic)
; qstr_There_is_only_one_tr|There is only one traitor, and that's you. Damned dog! It will cost you dearly. (Choleric)
; qstr_These_Vikings_were_f|These Vikings were few and weak. You were a fool to think they would help you. (Sanguine)
; qstr_Note_3:_You_chose_no|Note 3: You chose not to become an open enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron.
; qstr_Note_3:_You_chose_to_b|Note 3: You chose to become an enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron. You know he will send assassins for your head.
; qstr_Note_3:_You_chose_not|Note 3: You chose not to openly become the enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron.
; qstr_Leave_Friese:_Your_r|Leave Friese: Your relationship with the jarl has ended badly. You are now enemies. He will send assassins after you, and he will not have compassion if he finds you in his way.
; qstr_Leave_Friese._Your_r|Leave Friese. Your relationship with the jarl has ended badly. He accused you of ruining his plans to take the throne. It is best not to cross paths with him again for a long time -- or until you are able to regain his friendship.
; qstr_You_were_wrong._Thes|You were wrong. These men were going to take and fortify the village, then wait for more troops from Danmark. Now that's impossible. You've ended my dreams. Sigurd 'Snake in the Eye' will think I'm a traitor and will want my head because of you. Go away! You're no longer welcome here. If we meet again, I do not know if I will be able to control myself and not kill you.^^I recommend you leave Friese.
; qstr_There_s_nothing_to_t|There's nothing to talk about. These men were going to take and fortify the village, then wait for more troops from Danmark. Now that's impossible. You've ended my dreams. Sigurd 'Snake in the Eye' will think I'm a traitor and will want my head because of you. Go away! You're no longer welcome here. If we meet again, I do not know if I will be able to control myself and not kill you.^^I recommend you leave Friese.
; qstr_Leave_Friese._Your_re|Leave Friese. Your relationship with the jarl has ended badly. He accuses you of ruining his plans to take the throne. It is best not to cross paths with him again for a long time -- or until you are able to regain his friendship.
; qstr_You_are_bold_rat_to_|You are bold, rat, to talk to me like that after what you've done. To honor services provided, I will give you a few days head start. Then you will have assassins after you, for I will put a price on your head. You'll have to sleep with one eye open and a knife under your pillow.^If you do not leave Friese or we meet in person, I will kill you with my bare hands.
; qstr_Leave_Friese._Your_rel|Leave Friese. Your relationship with the jarl has ended badly. You are now enemies. He will send assassins after you, and he will not have compassion if he finds you in his way.
; qstr_No_you_are_a_fool._T|No, you are a fool. These men were going to take and fortify the village, then wait for more troops from Danmark. Now that's impossible. You've ended my dreams. Sigurd 'Snake in the Eye' will think I'm a traitor and he will want my head because of you. To honor services provided, I will give you a few days head start. Then you will have assassins after you, for I will put a price on your head. You'll have to sleep with one eye open and a knife under your pillow.^If you do not leave Friese or we meet in person, I will kill you with my bare hands.
; qstr_Investigate_events_i|Investigate events in {s3}.
; qstr_Help_defend_{s3}.|Help defend {s3}.
; qstr_The_king_does_not_be|The king does not believe you. You need evidence of treason. Maybe Thonkrik from {s3} can help you.
; qstr_It_seems_you_will_not|It seems you will not have the help of the king. You'll have to talk to {s11} 'Snake in the Eye' directly.
; qstr_{s10}_won_t_support_y|{s10} won't support you with {s9}.
; qstr_I_did_not_want_to_ki|I did not want to kill Atli, but I had no alternative. (Phlegmatic)
; qstr_I_am_aware_of_the_se|I am aware of the seriousness of this danger. You do not need to remind me. (Melancholic)
; qstr_I_did_this_for_you._|I did this for you. Without me, the letter would be Sigurd's, to take the throne. (Choleric)
; qstr_Come_on_sire_I_left_|Come on, sire, I left no witnesses. The Assembly will not blame me for anything. (Sanguine)
; qstr_I_see._Well_it_is_yo|I see. Well, it is your neck.
; qstr_Well_if_Ulf_doesn_t_|Well, if Ulf doesn't testify against you and some jarls support you, you might have a chance.
; qstr_Mark_my_words_{reg59|Mark my words, {reg59?woman:man}. If Sigurd gets this throne, your life won't be worth anything. Do not tell me what you do for me when you are in fact protecting only your interests.
; qstr_Remember_that_I_am_t|Remember that I am the king when you address me.
; qstr_It_seems_that_everyt|It seems that everything is ready for your trial. {s10} will send a messenger to warn you as soon as your presence is required by the Assembly.
; qstr_{s9}_wants_you_back_|{s9} wants you back with {s11}.
; qstr_{s9}_wants_you_to_me|{s9} wants you to meet {s11} of West Seaxe in {s3} and give him a letter calling for a truce.
; qstr___You_perceive_that_|--You perceive that your news has disturbed him deeply.--
; qstr_I_guess_you_ve_weigh|I guess you've weighed all the options before making your decision. (Phlegmatic)
; qstr_So_all_is_not_lost!_|So all is not lost! (Melancholic)
; qstr_Retreat_is_dishonora|Retreat is dishonorable. Were I running this army, I would lead it to victory. (Choleric)
; qstr_Come_come._Retreat?_|Come, come. Retreat? Are you a coward? (Sanguine)
; qstr_We_must_be_realistic|We must be realistic. Otherwise, we may lose everything we've got.
; qstr_You_need_not_be_so_d|You need not be so dramatic. Nothing has been lost, dammit! I'm just posing the most logical strategy.
; qstr_Well_I_happen_to_lik|Well, I happen to like people with guts. Listen carefully, because I think this will interest you.
; qstr_No_I_d_rather_be_a_c|No, I'd rather be a clever man than a dead one. And watch your words! Remember that you're talking to one of the sons of Ragnar. If all of Northhymbre could not answer for insulting our family, what chance do you think you would have?
; qstr_{s9}_wants_you_hunt_|{s9} wants you hunt and destroy the West Seaxe foraging party near {s3}.
; qstr_{s9}_wants_you_deliv|{s9} wants you deliver a message to his brothers in {s3}, advising them that no reinforcements from Danmark are coming and that Bjorn will request a meeting with the Saxons for a truce and retreat from Mierce.
; qstr___You_perceive_your_|--You perceive your news has disturbed him deeply. He snorts like a bull before answering.--
; qstr___He_looks_into_your_|--He looks into your eyes with deep concern and then calls a servant to read the letter aloud to the end. Then Rathbarth looks at you and smiles.--
; qstr___He_bites_his_lower|--He bites his lower lip a few seconds, thinking.--
; qstr_Note_1:_You_gave_the|Note 1: You gave the letter to Ragnar's sons. {s9} thanked you, and now you're helping him.
; qstr___He_rests_a_hand_on|--He rests a hand on your shoulder.--
; qstr___He_laughs_loudly._|--He laughs loudly.--
; qstr_{s9}_wants_you_find_|{s9} wants you find and speak with {s3} of the {s4} to give him your oath of homage. Then, he wants you to return for an assignment.
; qstr_As_he_rejoins_his_br|As he rejoins his brothers to decide what to do about the letter of Bodo, {s11} has asked you to go to the Kingdom of Alban, conquer {s3} and keep it twenty days to weaken the Picts and secure the rear of the Danish in Northhymbre.
; qstr___He_takes_a_deep_bre|--He takes a deep breath.--
; qstr___He_smiles_pleased.|--He smiles, pleased.--
; qstr_The_time_to_meet_wit|The time to meet with the troops from the Kingdom of Asturias has arrived. Bodo's letter indicates that they will dock at {s3}, and {s11} wants you go there and meet with them. There is a traitor. Use him to gain favor with the Asturian troops and bring them to the side of the sons of Ragnar. But if you fail to convince them, {s11} wants them destroyed.^^But before you leave Englaland, you must go to {s3} and talk to the old captain at the port, as {s11} has gathered men and ships to help you in Douar-an-Enez.
; qstr_The_king_wants_no_le|The king wants no letters. You have been sent to speak to his brother, {s11}.
; qstr___He_takes_the_letter_|--He takes the letter from your hands, and you see his fingers are stained with ink. Aelfred reads the letter slowly, absorbing with interest all that it contains. After reading it, without saying anything, Aelfred calls Bodo and takes him aside a few meters, where they talk a long time. --
; qstr_Note_1:_You_gave_the_|Note 1: You gave the letter to West Seaxe. {s9} thanked you, and now you're helping him.
; qstr___For_a_moment_he_sh|--For a moment, he shows surprise.--
; qstr___He_studies_you_slo|--He studies you slowly, like examining a horse.--
; qstr_{s9}_wants_you_to_fi|{s9} wants you to find and speak with {s3} of the {s4}, to give him your oath of homage. Then, he wants you to return for an assignment.
; qstr_{s11}_has_asked_you_|{s11} has asked you to go to the land of the Welsh. You are to conquer {s3} and keep it twenty days.
