str_yes|Sí.
; str_npc15_home_recap|I come from Konstantinoupolis, the most beautiful and largest city in the world. The largest towns here are but small villages compared to Konstantinoupolis. Heck, one could practically fit in the Hagia Sofia, the main church there. You should travel there someday.
; str_npc16_home_recap|I lived in Witan Ceaster for many years. That city brings back great memories, but I know my place is not there.
; str_npc1_honorific|Warlord
; str_npc2_honorific|{reg59?Madame:Sir}
; str_npc3_honorific|{reg59?Madame:Sir}
; str_npc4_honorific|{reg59?Madame:Sir}
; str_npc5_honorific|{reg59?Madame:Sir}
; str_npc6_honorific|Dux
; str_npc7_honorific|Leader
str_npc8_honorific|{playername}
; str_npc9_honorific|My good {reg59?lady:sir}
; str_npc10_honorific|Dryhten
; str_npc11_honorific|{reg59?My pretty:Handsome} -- I mean warlord
; str_npc12_honorific|Warlord
; str_npc13_honorific|Warlord
; str_npc14_honorific|Captain
; str_npc15_honorific|Strategos
; str_npc16_honorific|{reg59?Madame:Sir}
; str_npc1_kingsupport_1|That's a great idea, Warlord. All these men and landed nobles who rule now, with their prisons and gibbets and scaffolds, whip, brand or hang any man who might be driven by the crying of his children to steal a loaf of bread, or maybe a horse. This land deserves something better.
; str_npc2_kingsupport_1|Well, warlord, I'd support you. I think you'd give this world the kind of enlightened rule that it has long needed.
; str_npc3_kingsupport_1|Well, my {reg59?lady:lord}, I would worry for you. Our histories tell us that power tends to corrupt, but in the end, I am comforted by the mercy and judgment you have shown as lord of this shield wall.
; str_npc4_kingsupport_1|I think that you would be the kind of {reg59?queen:king} that well-born warriors such as I would be proud to follow into battle.
; str_npc5_kingsupport_1|A fine idea! You have shown that you know how to govern men. Mind that you govern them justly, though...
; str_npc6_kingsupport_1|I cannot judge the legal merits of your claim. However, I think that, unlike the other kings here, you have the capacity to unify this land. That would put a stop to these endless wars between kingdom and kingdom, noble and noble, and brother and brother, that have brought us all into disgrace in the eyes of the gods.
; str_npc7_kingsupport_1|Aye, you'll do well. You know how to treat trackers, Picts, and women.
; str_npc8_kingsupport_1|The Saga of Beowulf tells us that a man who does deeds greater than those of the other men of his time may claim a throne for himself. I'd say that you could make that claim.
; str_npc9_kingsupport_1|Very good, Dryhten. I'm a Frank by blood, but Dagobert didn't support me when I was cheated of my inheritance. So I don't owe him anything, and I would be more than happy to have you as my {reg59?queen:king}.
; str_npc10_kingsupport_1|Well, warlord, I suppose Englaland really needs a powerful king. The Welsh and Angles are but weaklings and idiots, while the Saxons, incomprehensibly, can't seem to unite to conquer the whole land.
; str_npc11_kingsupport_1|Why, that's a fine idea, {reg59?my pretty:handsome}! I suppose I shall have to learn to call you 'King' or 'Konungr,' then... Which I'd be more than happy to do if you called me 'Royal {reg59?Companion:Consort}.'
; str_npc12_kingsupport_1|I am sure that you would make a fine king, warlord. I flatter myself that I am a good judge of character, and you have demonstrated a capacity for compassion that far exceeds that of these others who call themselves monarchs.
; str_npc13_kingsupport_1|Well, {reg59?madame:sir}, the heavens have instituted a hierarchy in this world. Normally, I would have no truck with usurpation, but I also think that the kings of this land are a weak and sorry lot, not worthy the name of king. Circumstance leaves the crown free to be taken by a better ruler, such as you.
; str_npc14_kingsupport_1|That would be a fine thing, {reg59?my lady:sir}! Many are the tales of kings that proved their worthiness to wear a crown through valor and courage. Perhaps you know the tale of Cu Chulainn, whose bravery and feats of arms are unparalleled in Hibernia and Britannia. A splendid tale!
; str_npc15_kingsupport_1|Well, you pay your men on time, when you can, generally speaking. That's the best qualification for kingship there is, in my book. You also show some respect for the rights of others.
; str_npc16_kingsupport_1|It seems to me that you hear my words and that your soul stirs before Christ's teachings. Yes, I am sure that God not only approves but is planning your ascension as a rightful king over the sinful people of these lands.
; str_npc1_kingsupport_2|Sure would, warlord, but let me tell you what might bring others to your cause -- particularly us poor folk. They tell us that in the old days, the great Roman lords -- they were called governors, or maybe senators, I can't remember -- would, upon ascending to power, issue amnesty for all but the worst prisoners in the land's dungeons, giving people a second chance to make something of themselves.
; str_npc2_kingsupport_2|Most of the lords of this land, well, let's just say that they never held a pening that they didn't keep as rent or loot. You, on the other hand, have some experience of commerce and trade, due to acting as warlord and managing your domains. If you like, warlord, I reckon I could find some support for you among the men of this realm.
