str_yes|Tak.
; str_npc11_retirement_speech|You have been very kind to me this whole time, but I... I am unable to endure the pain of {reg59?envy:love}. I beg your pardon, but I can no longer have you in my sight, since I know I forever can be nothing more than a lesser light before you. {reg59?:Moreover, as I am a skjaldmo, I have to preserve my virginity. }So I'll be off, although I don't know to where. Farewell, {reg59?my pretty:handsome}.
; str_npc12_retirement_speech|I've done all right in your shield wall. I've filled my belly, put some silver in my purse, and broadened my knowledge of wounds and injury. I can't complain about that, but I think right now that service in this shield wall is holding me back. I have a duty to share my findings with other doctors, and for that, I need to hire scribes that have an excellent understanding of Latin. These are rare in Englaland, so I will be going to Rome.
; str_npc13_retirement_speech|I would like to inform you that I wish to sever our relationship. I intend to seek alternative employment; perhaps join my fate to that of the Rus.
; str_npc14_retirement_speech|As the lustre of your name grows ever brighter, I fear that my own reputation will pale in comparison, as the moon is outshone by the sun. I have decided to strike out on my own. The very best of luck to you!
; str_npc15_retirement_speech|I appreciate that you took me on, but I'm not altogether happy about how things have worked out. I'm going to head off elsewhere -- maybe go home to Konstantinoupolis, maybe find another job. I haven't quite decided yet.
; str_npc16_retirement_speech|You and your men are a lost cause to the faith. I see that your souls are already taken by the Devil, since many of you uphold the ways of the old false pagan gods. Even my word was unable to change you and your evil ways, so I can only hope that God will have mercy upon you despite your terrible sins. I leave now.
; str_npc1_rehire_speech|Warlord, it's good to see you again. I know we had our differences, but now I recognize that those were some of the best days I've known. And, to tell you the truth, I've had a bit of difficulty finding work. Listen, if you're willing to have me back, I'd be willing to sign up with your shield wall again.
; str_npc2_rehire_speech|{reg59?Madame:Sir}! It's good to see you again! Actually, I confess, I've been looking for you. I spent all my money and need more. I guess I'm just destined to fight for a living. People tell me that you, on the other hand, have done very well for yourself. So tell me, {reg59?madame:sir}, will you have me back?
; str_npc3_rehire_speech|Well, hello {reg59?madame:sir}! It is very good to see you again. I have not fared so well since we parted, I am afraid. My savings from the time we travelled together, which I hoped would give me a start in trading, have not been enough to start a decent business. And, I must say, I fear being turned again into a slave. Perhaps I am better suited to war than to commerce, to share a meal over a campfire with rough fellows than to drink mead. {reg59?Madame:Sir}, I must ask you -- will you take me back?
; str_npc4_rehire_speech|It's been a while. You've done well for yourself, I hear. I know there's been some bad blood between us, but I'd be honored to fight in your ranks once again.
; str_npc5_rehire_speech|{playername}! Your fame grows ever greater -- even as far as my homeland, beyond the mountains. I'd returned there, hoping that my exile would have been forgotten. Well, it hadn't. Even before I set foot in my valley, I received word from my family that there were warriors looking for me in case I crossed the kingdom's border. So I've returned, hoping you might forget any harsh words I may have spoken, to see if I could fight with you once again.
; str_npc6_rehire_speech|It is good to see you, {playername}. Everywhere I go, men are in awe of your deeds. I have not had it so well since I left. Wherever I go, I feel my former demons returning. My soul is in turmoil. For reasons that I cannot fully explain, I had found peace in your company. Will you allow me to serve with you once again?
; str_npc7_rehire_speech|Warlord! It is good to see you. Unfortunately, even with all the money I saved from my share of the loot, the absurd taunt of being a traitor and a woman was still directed at me. No Pictish warrior would consider joining a war band lead by me. Dammit, that's just the way life goes, I guess. Will you have me back?
; str_npc8_rehire_speech|Greetings to you, {playername}. I was wondering if the harsh words between us in the past could be forgotten. I could not find thirty men to crew a ship, and those whom I gathered quickly got bored and wandered off -- not, I will add, before they drank away such silver as I had accumulated. Then I thought back to the battles we fought together. Those were good days, and profitable ones, too.
; str_npc9_rehire_speech|My dear, dear {reg59?lady:man}! It is so good to see you! I sought service with the lords of this land, but was grievously disappointed. Half of them ask me to carry gifts to fellow lords, as if I were a simple errand boy, or to beat down lazy peasants, as if I were a farm overseer. One even asked me to murder one of his rivals! Those are no kind of activities for a brave warrior like me! So I have been seeking you, to see if you might wish me to join you again.
; str_npc10_rehire_speech|Dryhten! It's good to see you again! It turns out I'm not much of a farmer. Too soft on the hired hands, I figure. I let them rob me blind. I guess fighting is what I know best, even if accompanied by Britons and Mercians. So tell me, Dryhten, are you still looking for good men?
; str_npc11_rehire_speech|{reg59?My pretty:Handsome}, I've thought a lot since we parted. Now I know in my heart that, even if sometimes we cannot get what we most desire, it is better to live close by than far away from it. Perhaps there is hope left, after all, that your company will be good for me. So, {reg59?my pretty:handsome}, will you take me back?
; str_npc12_rehire_speech|Warlord! It's a fine thing to see an honest face like yours, for this world is so full of lies! I went Rome to publish my findings, hired some scribes and made a handful of codices. Then I waited for the commissions, but it turns out that the philosophers don't care about real medical knowledge and instead prefer to discuss quasi-magical theories. I'll keep trying, but first need to replenish the money in my bag. Are you looking for a physician?
