qstr_Breaking_camp...|Stai smantellando l'accampamento...
qstr_We_are_at_your_servi|Siamo al vostro servizio,  {reg59?signora:signore}. Indicateci la direzione di costoro che abbisognano di una lezione, e noi faremo il resto.
qstr_Oh..._well..._I_do_n|Oh... beh... non lo so... Probabilmente sto bene. (Flemmatico)
qstr_Even_bad_dreams_spea|Anche i brutti sogni ci parlano. Mi piace ascoltarli. Forse possiamo imparare qualcosa. (Malinconico)
qstr_Yes_I_had_a_nightmar|Sì, ho avuto un incubo, ma ora sono sveglio. Tutto ciò che conta è andare avanti. (Irascibile)
qstr_All_is_well._Believe|Tutto bene. Credetemi, è stato solo uno stupido incubo! (Sanguigno)
qstr_No_need_to_get_shy!_|Non è necessario essere timidi! In ogni caso, è bello vederti, amico.
qstr_I_prefer_not_to_drea|Preferisco non sognare. Portano troppi ricordi e desideri. Beh, è bello vederti, amico.
qstr_Yes_we_are_finally_n|Sì, siamo finalmente vicino a Friese. Lì, dopo tutti questi giorni, ci separeremo, poichè il mio viaggio continua verso il West Seaxe. Per ora, è bello vederti, amico.
qstr_I_agree_completely._|Sono completamente d'accordo. Per fortuna, di solito, non ricordo i miei sogni quando mi sveglio. Beh, è bello vederti, amico.
; qstr___She_has_aged_sever|--She has aged several years since her illness began. She's so frail that she looks like she would break if you touched her. This is not the woman you know; just a vague memory of her, but she's still your mother.--
qstr___She_smiles_and_look|--Sorride e ti guarda con amore--
; qstr___She_looks_past_you|--She looks past you--
qstr___She_opens_her_eyes|--Apre gli occhi, ti guarda. Le sue mani tremano--
qstr___She_shifts_her_gaz|--Sposta il suo sguardo vero il mare. Sta piangendo.--
qstr___He_smiles_and_show|--Sorride e ti mostra il timone.--
qstr___He_stares_at_you_f|--Ti fissa per un secondo, poi si lascia sfuggire una risata.--
qstr___He_nods.__|--Annuisce.--
qstr___You_notice_his_han|--Alla notizia le sue mani iniziano a tremare per il nervoso.--
qstr___Now_he_looks_scare|--Ti guarda spaventato.--
qstr___He_scratches_his_b|--Si gratta la schiena e sorride.--
qstr___He_touches_the_hil|--Tocca l'elsa della spada.--
; qstr_After_traveling_for_|After traveling for several days, you came to Douar-an-Enez and met with the Asturians. But while you were trying to convince them to join Ragnar's sons, Bodo took command and ordered an attack on your fleet. You must return to your fleet and fight!
; qstr_After_traveling_for_s|After traveling for several days, you came to Douar-an-Enez and met with the Asturians. You unmasked the traitor, Silo, but it was too late! The Danish are attacking your fleet. You must hurry and save your men!
qstr_You_are_now_a_Christ|Ora sei Cristiano.
; qstr_The_priest_is_happy_|The priest is happy about donations, but clearly is annoyed that you are trying to buy him off. Perhaps it's time to let it go, for a while.
qstr_You_are_now_a_pagan_|Ora sei un pagano, un seguace di Odino e degli altri dei Norreni.
; qstr_The_priest_is_happy_a|The priest is happy about being paid to talk, but clearly is annoyed that you are trying to buy him off. Perhaps it's time to let it go for a while.
qstr___The_abbot_looks_yo|--L' abate ti guarda dall'alto in basso, poco convinto.--
qstr_Welcome_then._Listen|Benvenuto, allora. Ascoltami: abbiamo bisogno del tuo sostegno.
qstr_In_nomine_pater_the_|In nomine pater, lo Jarl ci insulta inviandoci un pagano. Va bene, se è così che vuole giocare... Ora, ascoltatemi.
qstr_Then_welcome_{player|Sei il benvenuto {playername}. Lascia che ti spieghi cosa sta accadendo.
qstr___The_abbot_after_ru|--L'abate, dopo aver rovistato  tra i libri, tira fuori una lettera e te la mostra.--
qstr___The_document_seems|--Il documento sembra abbastanza credibile, scritto in buona calligrafia, c'è scritto che un uomo di nome Frethwi dona al monastero diversi appezzamenti di terreno. È firmato da diversi testimoni.--^^
qstr___You_look_at_the_te|--Guardi il testo. È tutto molto bello, con lettere ben allineate, ma senza illustrazioni, tu non capisci niente.--^^
qstr_Note_1:_You_chose_to|Nota 1: Hai scelto di lasciare queste terre al monastero vicino a {s3}.
qstr_Note_1:_You_chose_no|Nota 1: Hai scelto di non lasciare queste terre al monastero vicino a {s3}.
qstr___The_abbot_opens_hi|--L'abate spalanca gli occhi.--
; qstr_Note:_You_returned__|Note: You returned 'The Cathach of Colum Cille' to Gleann Da Loch.
qstr_The_abbot_of_Finian_|L'abate di Finian ti ha detto che Mael Bresail, suo potrettore, è a {s3} in attesa di tue notizie sui nipoti di Flaithbertach.
; qstr_So_you_re_{playernam|So you're {playername}. I've heard about you. Personally, I dislike the reports of your sinfulness, but I wasn't the one making the decision. Here is one thousand peningas. Now listen...
; qstr_So_you_re_{playername|So you're {playername}. I've heard about you. You're someone who loves the people and treats others with kindness. You deserve this one thousand peningas. Now listen, for my patron has a mission for you...
; qstr_So_you_re_{playername}|So you're {playername}. I cannot deny that your reputation precedes you. I have heard of you from many travelers. For better or worse, you seem destined to leave your mark on the world. Here is one thousand peningas. Now listen, for my patron has a mission for you...
; qstr_So_you_re_{playername}.|So you're {playername}. I do not know much about you, and I'm not particularly interested to learn. However, my patron gave me a list, and it included your name. Here is one thousand peningas. Now listen, for my patron has a mission for you...
qstr_The_abbot_of_Finian_h|L'abate di Finian ti ha chiesto di andare a {s3} e di uccidere un uomo chiamato 'Il Serpente'. Vai alla sala dell'idromele e incontrarlo.
qstr_You_are_working_for_|Si sta lavorando per l'anonimo protettore dell'abate di Finian.
qstr_The_abbot_of_Finian_ha|L'abate di Finian ti ha chiesto di andare a {s3} per scoprire dove sono i nipoti di Flaithbertach dal sindaco chiamato Donngal.
qstr_The_abbot_of_Finian_has|L'abate di Finian ti ha chiesto di andare a {s3} ha indagare sul male che sta attaccando i pescatori. Entra nel paese e cerca un uomo chiamato Caliacas.
qstr_You_have_finished_th|Hai compiuto le missioni che ti ha dato l'abate di Finian. È tempo di parlare con Mael Bresail, suo protettore, ti sta aspettando a {s3}.
qstr_You_need_to_learn_th|Hai bisogno di conoscere la posizione di Mael Bresail, ma l'abate di Finian si rifiuta di dirtelo. Forse dovresti riprovare con più argento o aumentare la tua capacità di persuasione o di intimidazione.
qstr_The_abbot_of_Finian_t|L'abate di Finian ti ha detto che Mael Bresail si nasconde a Cornubia, in un edificio costruito per sua madre vicino a {s3}.
qstr_The_abbot_of_{s3}_as|L'abate di {3} ti ha chiesto di portargli {reg33} pallet di legno.
; qstr_Of_course_my_{reg59?|Of course, my {reg59?daughter:son}. We have a big batch of our wine.
qstr_We_have_some_wine_st|Abbiamo del vino ancora disponibile.
qstr___A_huge_creature_is|--Una Enorme creatura ti guarda dall'alto, apparentemente intimidita della tua presenza o dal tuo equipaggiamento.--
qstr___You_see_a_short_th|--Puoi vedere un piccolo, magro uomo con una strana faccia di fronte a te.--
qstr___The_Swedish_Viking|--Il Vichingo Svedese ti guarda dall'alto in basso, ti sta studiando.--
qstr___The_man_flattening|--Un uomo, sta appiattendo la terra con i piedi, si gira improvvisamente verso di te quando ti avvicini. In un primo momento, sembra sorpreso, ma subito dopo sorride.--
qstr_I_was_just_leaving._|Me ne vado. (Flemmatico)
qstr_I_think_we_are_both_|Siamo entrambi troppo vecchi per giochi come questo. (Malinconico)
qstr_Heh_I_ve_played_game|Eh, ho giocato a giochi con quote peggiori. Procediamo. (Irascibile)
qstr_Very_well_but_if_I_s|Molto bene, ma se risolvo l'indovinello, e non mi piaciono le tue risposte, mi prenderò la tua anima. (Sanguigno)
qstr_When_you_open_your_e|Quando riapri nuovamente gli occhi, ricevi la benedizione degli dei e delle dee. Forse questa è solo la tua immaginazione, ma ti sente più abile con le armi.
qstr_When_you_open_your_ey|Quando riapri nuovamente gli occhi, ricevi la benedizione degli dei e delle dee. Forse questa è solo la tua immaginazione, ma ti sente più attraente.
qstr_When_you_open_your_eye|Quando riapri nuovamente gli occhi, ricevi la benedizione degli dei e delle dee. Forse questa è solo la tua immaginazione, ma ti sente più forte.
qstr_When_you_open_your_eyes|Quando riapri nuovamente gli occhi, ricevi la benedizione degli dei e delle dee. Forse questa è solo la tua immaginazione, ma ti sente più intelligente.
qstr_When_you_open_your_eyes_|Quando riapri nuovamente gli occhi, ricevi la benedizione degli dei e delle dee. Forse questa è solo la tua immaginazione, ma ti sente più agile.
qstr_You_open_your_eyes_a|Quando riapri nuovamente gli occhi, non succede nulla. Gli dei nonhanno accettato il sacrificio.
qstr_An_old_Roman_at_{s3}|Un antico Romano a {s3} ti ha chiesto di portargli otto sacchi di grano.
qstr_I_have_a_good_load_o|Ho un buon carico di minerale disponibile.
qstr_I_have_loads_of_both|Ho un buon carico di minerale e pietre disponibile.
qstr_I_have_a_good_load_of|Ho un buon carico di pietre disponibile.
qstr_I_have_some_soapston|Ho qualche pietra ollare disponibile.
qstr_I_have_loads_of_salt|Ho molti carichi di sale oggi.
qstr_Come_with_me._I_ll_s|Vieni con me. Ti faccio vedere quello che abbiamo.
qstr_I_have_some_salt.|Ho un pò di sale.
qstr_I_have_plenty_of_tim|Ho dei sacchi di legna disponibili.
qstr_I_have_some_timber_a|Ho un pò di legna disponibile.
qstr_I_have_nice_cows_hug|Ho delle belle mucche, grandi e grasse, pronte da vendere in città. Sarei felice di vendertele.
qstr_I_have_raw_materials|Ho materie prime e prodotti.
qstr_I_have_a_few_food_it|Ho dei prodotti alimentari in vendita.
; qstr_I_am_the_reeve_of_th|I am the reeve of the fort of {s9}. I manage the affairs of the fort in your name, my {reg59?lady:lord}
; qstr_I_am_the_reeve_of_the|I am the reeve of the fort of {s9}. I manage the affairs of the castle in my lord's name.
qstr_Your_highness|Vostra altezza
qstr_May_I_remind_you_tha|Posso ricordarvi che la popolazione vi sta pagando delle tasse adeguate?
qstr_May_I_remind_you_that|Posso ricordarvi che la popolazione vi sta pagando delle tasse basse? Essa ti è visibilmente grata.
qstr_May_I_remind_you_that_|Posso ricordarvi che la popolazione vi sta pagando delle tasse alte? Il tuo nome viene maledetto in ogni angolo e ad ogni bancarella del mercato.
qstr_Donngal_mayor_of_{s3|Donngal, sindaco di of {s3}, vuole che migliori i rapporti con la sua città prima di darti informazioni sui nipoti di Flaithbertach. È necessario aumentare le relazioni sopra i 10 punti.
qstr_Donngal_told_you_tha|Donngal ti ha detto che i nipoti di Flaithbertach sono in una fattoria vicino a {s3}. È tempo di tornare dall'abate e ritirare la ricompensa.
qstr_Note_1:_You_chose_to_|Nota 1: Hai scelto di uccidere i nipoti di Flaithbertach.
qstr_The_children_who_wil|I bambini che sono nella fattoria diventeranno schiavi. Dongall nasconderà i nipoti di Flaithbertach altrove.
qstr_Note_1:_You_chose_to_s|Nota 1: Hai scelto di salvare i nipoti di Flaithbertach. Sacrificando la vita di altri bambini, che diventeranno schiavi.
; qstr_Dongall_will_remove_|Dongall will remove Flaithbertach's grandchildren from the farm near Dinas Bran, so when the murderers come, they will not find anyone. It is possible that this will put you at odds with the highest power in Eriu, but you are willing to take that risk.
qstr_Note_1:_You_chose_to_sa|Nota 1: Hai scelto di salvare i nipoti di Flaithbertach.
qstr__May_I_remind_you_th|Posso ricordarvi che la popolazione vi sta pagando delle tasse adeguate?
qstr__May_I_remind_you_tha|Posso ricordarvi che la popolazione vi sta pagando delle tasse basse? Essa ti è visibilmente grata.
qstr__May_I_remind_you_that|Posso ricordarvi che la popolazione vi sta pagando delle tasse alte? Il tuo nome viene maledetto in ogni angolo e ad ogni bancarella del mercato.
qstr_town|città
qstr_village|villaggio
qstr_The_mayor_of_{s13}_h|Il sindaco di {s13} ti ha chiesto di occuparti dei banditi che si aggirano per queste campagne.
qstr_{s9}_of_{s3}_asked_y|Il {s9} di {s3} ti ha chiesto di consegnare {reg5} unità di {s6} alla sala dell'idromele a {s4} entro 7 giorni.
qstr_Escort_the_merchant_|Scorta la carovana fino alla città di {s8}.
qstr_Merchant_{s9}_of_{s4|Il mercante {s9} di {s4} ti ha chiesto di scacciare i banditi molesti che si aggirano nelle vicinanze della città.
qstr_The_mayor_of_{s4}_ga|Il Borgomastro di {s4} ti ha dato {reg12} denari per pagare il riscatto di una ragazza rapita dai banditi. Devi incontrare i banditi vicino {s3} e pagare la quota del riscatto. Dopodichè dovrai riportare la ragazza a {s4}.
qstr_The_mayor_of_{s4}_pr|Il sindaco di {s4} ti ha promesso {reg12} denari se farai in modo che {s12} e {s13} non rappresentino più una minaccia per un trattato di pace fra {s15} e {s14}. A tal fine, devi convincerli entrambi o fare in modo che vengano catturati e rimangano in cattività affinché l'accordo di pace venga firmato.
qstr_The_mayor_of_{s14}_h|Il sindaco di {s14} ti ha chiesto di occuparti dei banditi che stanno terrorizzando le strade di {s14}. Si palesano solo di notte, e attaccano i viaggiatori isolati per la via.
qstr_The_mayor_of_{s10}_a|Il sindaco di {s10} ti ha chiesto di portare una mandria di bestiame a {s13}. Riceverai {reg8} denari al tuo ritorno.
; qstr_Yes_{playername}_I_h|Yes, {playername}, I have a delicate task to ask of you. I was in the possession of a wonderful musical instrument, a {s13}, which was made by one of the greatest artisans of yore, {s50} of... well, not really sure where he was from. Regardless, it looks like it was stolen from me by a local guard. He went into hiding, and no one can find him. He's probably hiding in one of the local villages nearby. If you return {s13} to me, I will reward you with {reg33} peningas.
qstr_{s10}^{s11}|{s10}^{s11}
qstr_The_{s9}_of_{s3}_ask|Il {s9} di {s3} ti ha chiesto di recuperare una {s13} rubatagli.^^Guarda:^{s10}
; qstr_Yes_{playername}_one|Yes, {playername}, one of the merchants here is looking to expand, and he needs some stone for that. Unfortunately, with all the fighting around, bandits and all that, he was unable to procure the stone at the acceptable price. Perhaps, you can go to the nearest stone quarry and get {reg33} loads of stone?
; qstr_Yes_{playername}_one_|Yes, {playername}, one of the merchants here had an unusually high demand for salt lately, and he is running low. Unfortunately, with all the fighting around, bandits and all that, his last shipment never arrived, and he was unable to procure the salt at the acceptable price. Perhaps, you can go to the nearest salt mine and get {reg33} loads of salt for him?
